,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:28:24.781,1065528077,0.57,223196,39464002,1065528077,100.00,-1,-1,1065529073,0.59,232716,39464039,1065529073,100.00,-1,-1,1065530020,0.47,219756,46327392,1065530020,100.00,-1,-1,1065530805,0.50,231076,46327426,1065530805,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998945125,0.00,0.00,0.00,582997,35.58,35.69,50,340757,5.21,5.23,
2026-04-01,21:28:25.781,1064166340,0.61,383547,62598020,1064166340,100.00,-1,-1,1064170019,0.83,590884,70944667,1064170019,100.00,-1,-1,1064173771,0.70,441201,62598457,1064173771,100.00,-1,-1,1064177367,0.87,440803,50675112,1064177367,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997706298,0.00,0.00,0.00,584484,35.67,35.75,50,344203,5.27,5.28,
2026-04-01,21:28:26.781,1063903873,0.36,199649,55994940,1063903873,100.00,-1,-1,1063905469,0.42,224659,53195273,1063905469,100.00,-1,-1,1063906857,0.35,206380,59105936,1063906857,100.00,-1,-1,1063908496,0.39,197508,50662309,1063908496,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997427643,0.00,0.00,0.00,581983,35.52,35.63,50,343645,5.26,5.27,
2026-04-01,21:28:27.780,1064112418,0.50,355483,70940827,1064112418,100.00,-1,-1,1064114739,0.26,255349,96737703,1064114739,100.00,-1,-1,1064117080,0.42,344153,81855160,1064117080,100.00,-1,-1,1064119351,0.39,462791,118235483,1064119351,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997638487,0.00,0.00,0.00,584838,35.70,35.77,50,345029,5.28,5.29,
2026-04-01,21:28:28.780,1064029095,0.41,366247,88669091,1064029095,100.00,-1,-1,1064029013,0.34,256017,76002072,1064029013,100.00,-1,-1,1064029257,0.34,274202,81848404,1064029257,100.00,-1,-1,1064029286,0.13,127261,96729935,1064029286,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997524046,0.00,0.00,0.00,586044,35.77,35.88,50,344458,5.27,5.29,
2026-04-01,21:28:29.780,1064060358,0.43,253437,59114464,1064060358,100.00,-1,-1,1064060604,0.35,234398,66503787,1064060604,100.00,-1,-1,1064060484,0.29,156753,53203024,1064060484,100.00,-1,-1,1064060635,0.43,217073,50669554,1064060635,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997560733,0.00,0.00,0.00,582127,35.53,35.60,50,341438,5.22,5.23,
2026-04-01,21:28:30.780,1064043708,0.32,227681,70936247,1064043708,100.00,-1,-1,1064043588,0.18,107961,59113532,1064043588,100.00,-1,-1,1064043808,0.21,119987,56002305,1064043808,100.00,-1,-1,1064043877,0.16,119996,76003134,1064043877,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997539496,0.00,0.00,0.00,585289,35.72,35.79,51,342002,5.23,5.24,
2026-04-01,21:28:31.782,1065020998,0.65,386476,59167833,1065020998,100.00,-1,-1,1065021094,0.61,326004,53251054,1065021094,100.00,-1,-1,1065020766,0.89,377099,42600830,1065020766,100.00,-1,-1,1065020733,0.57,276341,48410033,1065020733,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998474803,0.00,0.00,0.00,586685,35.81,35.88,50,343862,5.26,5.27,
2026-04-01,21:28:32.782,1064741088,0.58,267155,46293090,1064741088,100.00,-1,-1,1064741033,0.27,131157,48397319,1064741033,100.00,-1,-1,1064741254,0.39,190698,48397329,1064741254,100.00,-1,-1,1064741123,0.60,322022,53237056,1064741123,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998179247,0.00,0.00,0.00,585543,35.74,35.81,50,345309,5.28,5.29,
