Socket0_Watts,Socket1_Watts
37.0,26.52
36.9,26.41
36.76,26.31
36.84,26.29
36.87,26.43
36.87,26.39
36.94,26.26
37.01,26.46
37.08,26.42
36.67,26.17
36.6,26.27
36.84,26.33
36.97,26.34
36.93,26.39
36.99,26.32
36.95,26.25
36.88,26.2
36.91,26.18
37.0,26.19
36.88,26.3
36.95,26.23
37.14,26.2
37.02,26.21
36.95,26.17
36.99,26.29
36.98,26.38
36.78,26.23
36.99,26.44
36.74,26.34
37.01,26.25
36.9,26.23
37.01,26.28
37.17,26.27
37.25,26.28
37.03,26.22
36.13,26.92
36.24,26.95
36.23,27.03
36.85,26.52
37.15,26.44
37.14,26.36
36.96,26.29
36.87,26.28
37.17,26.31
37.12,26.51
36.98,26.28
36.91,26.31
36.88,26.35
37.06,26.43
36.79,26.23
36.91,26.3
36.96,26.25
36.94,26.21
36.87,26.19
36.93,26.28
37.06,26.37
36.91,26.26
