Socket0_Watts,Socket1_Watts
24.54,23.38
24.72,23.33
24.59,23.33
24.74,23.33
24.72,23.36
24.81,23.33
24.53,23.32
24.62,23.34
24.58,23.38
24.58,23.38
24.73,23.36
24.58,23.34
24.62,23.32
24.76,23.34
24.54,23.36
24.52,23.39
24.58,23.32
24.6,23.36
24.66,23.34
24.59,23.34
24.56,23.31
24.64,23.41
24.64,23.32
24.68,23.32
24.56,23.32
24.74,23.34
24.69,23.36
24.63,23.32
24.6,23.33
24.68,23.32
24.59,23.33
24.73,23.34
24.63,23.36
24.6,23.32
24.68,23.32
24.62,23.32
24.62,23.31
24.64,23.38
24.63,23.35
24.66,23.32
24.59,23.32
24.63,23.32
24.54,23.32
24.61,23.38
24.59,23.34
24.55,23.31
24.55,23.32
24.49,23.34
24.67,23.37
24.61,23.37
24.74,23.4
24.53,23.32
24.62,23.32
24.64,23.32
24.55,23.35
24.63,23.31
24.68,23.38
24.62,23.36
24.61,23.38
24.49,23.33
