Socket0_Watts,Socket1_Watts
24.49,23.4
24.59,23.32
24.65,23.32
24.56,23.32
24.66,23.39
24.57,23.34
24.58,23.32
24.71,23.32
24.66,23.32
24.63,23.32
24.62,23.38
24.62,23.37
24.68,23.37
24.62,23.36
24.68,23.39
24.68,23.39
24.6,23.32
24.65,23.32
24.65,23.34
24.78,23.39
24.56,23.37
24.56,23.35
24.62,23.37
24.53,23.34
24.5,23.32
24.7,23.32
24.59,23.38
24.66,23.31
24.73,23.32
24.5,23.34
24.58,23.32
24.55,23.32
24.59,23.34
24.54,23.32
24.61,23.38
24.63,23.35
24.64,23.35
24.59,23.35
24.6,23.32
24.63,23.32
24.52,23.35
24.71,23.34
24.55,23.35
24.74,23.43
24.56,23.33
24.61,23.32
24.62,23.32
24.5,23.4
24.58,23.32
24.63,23.36
24.65,23.39
24.5,23.33
24.69,23.37
24.58,23.34
24.63,23.35
24.55,23.32
24.56,23.32
24.55,23.32
24.58,23.34
24.47,23.36
