run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	579.65	13022.84	55.18	116.80	2.53	318.84	NA	87.91
2	581.45	13084.78	55.01	116.80	2.49	333.25	NA	89.58
3	579.11	13027.81	55.23	116.80	2.51	302.72	NA	88.99
4	614.55	13797.65	52.05	108.68	2.58	285.63	NA	92.75
5	587.70	13172.59	54.43	114.72	2.46	318.75	NA	87.23
6	583.34	13118.33	54.84	116.80	2.58	446.33	NA	89.30
7	585.19	13133.98	54.66	114.72	2.48	348.47	NA	87.92
8	585.89	13171.45	54.60	114.72	2.47	293.68	NA	89.45
9	583.12	13125.08	54.86	116.80	2.42	324.95	NA	90.03
10	582.21	13111.35	54.94	116.80	2.51	355.46	NA	90.28
