Socket0_Watts,Socket1_Watts
24.64,23.42
24.47,23.35
24.6,23.38
24.7,23.34
24.65,23.38
24.72,23.32
24.61,23.32
24.72,23.37
24.61,23.34
24.69,23.32
24.5,23.38
24.69,23.32
24.47,23.32
24.57,23.38
24.57,23.35
24.62,23.42
24.6,23.38
24.57,23.32
24.72,23.34
24.51,23.32
24.7,23.32
24.48,23.36
24.58,23.32
24.54,23.34
24.7,23.32
24.55,23.32
24.57,23.36
24.58,23.32
24.57,23.35
24.75,23.33
24.55,23.32
24.7,23.32
24.6,23.36
24.54,23.32
24.68,23.48
24.73,23.43
24.66,23.4
24.59,23.43
24.68,23.32
24.56,23.32
24.61,23.34
24.61,23.33
24.71,23.34
24.6,23.38
24.53,23.34
24.65,23.32
24.58,23.31
24.59,23.31
24.72,23.34
24.61,23.36
24.65,23.32
24.64,23.31
24.62,23.32
24.64,23.35
24.55,23.36
24.53,23.32
24.59,23.35
24.52,23.29
24.5,23.36
24.49,23.34
