Socket0_Watts,Socket1_Watts
24.57,23.39
24.66,23.33
24.62,23.32
24.64,23.32
24.59,23.38
24.66,23.32
24.64,23.32
24.59,23.32
24.63,23.38
24.65,23.32
24.57,23.44
24.71,23.32
24.5,23.32
24.58,23.32
24.68,23.31
24.49,23.35
24.77,23.4
24.49,23.35
24.67,23.37
24.53,23.32
24.64,23.32
24.57,23.37
24.62,23.32
24.62,23.32
24.54,23.32
24.56,23.32
24.62,23.35
24.61,23.32
24.55,23.35
24.6,23.32
24.55,23.32
24.64,23.32
24.53,23.35
24.73,23.34
24.56,23.37
24.57,23.29
24.61,23.32
24.56,23.35
24.56,23.33
24.53,23.34
24.67,23.32
24.5,23.33
24.57,23.32
24.64,23.35
24.81,23.34
24.49,23.32
24.68,23.34
24.49,23.32
24.57,23.34
24.45,23.35
24.57,23.34
24.63,23.38
24.57,23.3
24.54,23.42
24.58,23.35
24.72,23.33
24.66,23.32
24.57,23.32
24.61,23.36
24.46,23.33
