Socket0_Watts,Socket1_Watts
37.25,26.62
37.14,26.41
37.26,26.18
37.2,26.42
37.1,26.46
37.34,26.45
37.09,26.52
37.12,26.54
37.1,26.66
36.95,26.52
37.11,26.63
37.1,26.43
37.01,26.54
36.98,26.79
36.94,26.64
37.03,26.56
37.02,26.45
37.27,26.67
37.15,26.7
37.03,26.63
36.47,26.71
36.5,26.75
36.5,26.43
37.0,26.61
37.01,26.75
36.95,26.83
36.96,26.84
37.09,26.68
37.16,26.76
37.2,26.74
37.23,26.66
37.1,26.49
37.03,26.51
37.08,26.45
37.0,26.38
37.16,26.45
37.33,26.3
36.84,26.31
36.95,26.73
37.04,26.59
37.19,26.56
37.08,26.48
36.98,26.56
36.84,26.59
36.67,26.46
36.79,26.43
36.51,26.51
36.64,26.51
36.59,26.65
36.67,26.67
36.72,26.87
36.64,26.96
36.59,26.76
36.34,26.98
36.05,27.11
37.09,26.63
37.05,26.46
