Socket0_Watts,Socket1_Watts
37.21,26.34
37.22,26.31
36.98,26.45
37.06,26.51
37.05,26.59
36.93,26.65
37.01,26.32
37.3,26.35
37.04,26.23
37.13,26.29
37.16,26.46
36.85,26.65
36.45,26.29
36.43,26.23
36.58,26.24
37.0,26.2
37.07,26.19
36.91,26.22
37.2,26.33
37.01,26.19
37.03,26.21
37.03,26.19
37.15,26.23
36.92,26.23
37.3,26.21
37.36,26.29
37.1,26.26
37.15,26.17
37.18,26.15
37.16,26.21
37.25,26.19
37.32,26.18
37.14,26.27
37.15,26.18
37.22,26.34
37.09,26.23
37.45,26.33
36.94,26.32
37.05,26.35
36.94,26.28
37.01,26.36
37.11,26.35
37.14,26.34
37.24,26.42
37.18,26.44
37.37,26.34
37.16,26.7
37.02,26.59
37.26,26.37
37.16,26.49
36.93,26.49
36.57,26.57
37.36,26.77
37.24,26.44
37.25,26.64
37.28,26.46
37.22,26.53
