Socket0_Watts,Socket1_Watts
37.47,26.51
37.3,26.48
37.07,26.64
37.31,26.69
37.12,26.61
36.69,26.79
36.56,26.81
36.64,27.05
37.27,27.17
37.01,26.88
37.15,26.53
37.26,26.62
37.24,26.42
37.2,26.66
37.11,26.66
37.27,26.54
37.35,26.46
37.16,26.35
37.29,26.62
37.21,26.53
37.43,26.61
37.19,26.67
37.24,26.8
37.38,26.78
37.24,26.46
37.23,26.39
36.88,26.67
36.58,26.58
36.89,26.58
36.65,26.64
36.69,26.52
36.83,26.66
37.24,26.34
37.23,26.4
37.16,26.58
37.31,26.9
37.08,26.78
37.2,26.77
37.38,26.81
36.63,27.05
36.3,27.18
37.35,26.68
37.26,26.66
37.5,26.59
37.35,26.64
37.31,26.48
37.25,26.54
37.15,26.51
37.09,26.5
36.97,26.27
37.18,26.76
37.06,26.7
36.95,26.38
37.16,26.63
37.12,26.81
37.1,26.73
37.04,26.82
